,Grundlegend,Fundiert,Experte,Führend
2000,0.883333333,0,0,0.116666667
2003,0,0.711956522,0.288043478,0
2005,0.96875,0,0,0.03125
2007,0.473394495,0.157798165,0.352293578,0.016513761
2008,0.292134831,0.501652346,0.194315929,0.011896894
2009,0.003676471,0.590073529,0.386029412,0.020220588
2010,0.315018315,0.335775336,0.317460317,0.031746032
2011,0.142857143,0.39941691,0.456268222,0.001457726
2012,0.322818792,0.485234899,0.171812081,0.020134228
2013,0.380388842,0.469146238,0.134404057,0.016060862
2014,0.382113821,0.526579112,0.084427767,0.0068793
2015,0.667372881,0.225635593,0.077330508,0.029661017
2016,0.547058824,0.276470588,0.1,0.076470588
